City_ID,city,lat,lng,max_temp,Humidity,Cloudiness,Wind Speed
420,Durban,-29.8579,31.0292,56.01,88,0,5.01
421,Karaj,35.8355,51.0103,81.12,28,0,3.78
422,Nisia Floresta,-6.0911,-35.2086,74.21,89,16,9.17
423,Mariani,26.6667,94.3333,76.46,98,100,4.09
424,Iquique,-20.2208,-70.1431,59.04,73,78,3.0
425,Jiaonan,35.8786,119.9753,78.35,91,99,8.66
426,Qaqortoq,60.7167,-46.0333,50.5,90,91,3.6
427,Dongsheng,39.8161,109.9776,68.9,70,0,14.12
428,Mirpur Khas,25.5251,69.0159,84.02,77,97,25.57
429,De-Kastri,51.4667,140.7833,72.91,60,68,1.99
430,Cairns,-16.9167,145.7667,76.1,83,90,6.91
431,Wattegama,6.7989,81.4808,76.14,77,100,5.7
432,Saint-Augustin,51.226,-58.6502,64.33,69,100,11.12
433,Goure,13.9835,10.2704,83.01,55,38,13.09
434,Port-De-Bouc,43.4,4.9833,76.95,74,0,3.44
435,Turukhansk,65.8167,87.9833,48.76,74,2,6.85
436,Raga,8.4596,25.678,67.98,98,61,4.27
437,Fort Nelson,58.8053,-122.7002,72.18,42,100,1.97
438,Bud,39.447,-86.1758,82.67,62,1,6.04
439,Russell,32.3502,-85.1999,81.52,83,90,5.75
440,Ponnampet,12.15,75.9333,64.69,98,91,5.01
441,Richards Bay,-28.783,32.0377,60.08,78,0,12.01
442,Sal Rei,16.1833,-22.9167,77.56,88,85,12.77
443,Menongue,-14.6585,17.691,50.85,45,39,4.29
444,Mandera,3.9366,41.867,76.93,61,100,18.3
445,Key West,24.5557,-81.7826,87.01,70,1,6.91
446,Swan Hill,-35.3378,143.5544,48.25,78,100,11.34
447,Dakar,14.6937,-17.4441,79.68,82,76,11.52
448,Sobolevo,54.4299,31.8996,61.81,79,76,5.95
449,Harper,4.375,-7.7169,76.35,75,95,11.14
