City_ID,city,country,max temp,Weather description,lat,lng,Hotel Name
69,Havre-Saint-Pierre,CA,59.0,mist,50.2334,-63.5986,Auberge Niapiskau
70,Anjiang,CN,73.92,broken clouds,27.3194,110.1031,Dahua Hotel
71,Tuktoyaktuk,CA,55.4,broken clouds,69.4541,-133.0374,End of The Road Ltd.
77,Lima,PE,62.85,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
78,Smithers,CA,59.94,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
84,Moyuta,GT,74.98,overcast clouds,14.0386,-90.0808,Lovers auto hotel
90,Mattru,SL,72.81,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
91,Castro,BR,57.47,clear sky,-24.7911,-50.0119,CHACARA BAILLY
93,Sitka,US,57.09,light rain,57.0531,-135.33,Westmark Sitka
95,Acari,PE,70.0,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
97,Mubi,NG,69.35,scattered clouds,10.2676,13.2644,Hotel
99,Thompson,CA,71.76,broken clouds,55.7435,-97.8558,Burntwood Hotel
104,Carnarvon,AU,59.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
105,Iqaluit,CA,51.53,light rain,63.7506,-68.5145,Frobisher Inn
110,Saldanha,ZA,50.54,clear sky,-33.0117,17.9442,Blue Bay Lodge
114,Camacha,PT,68.76,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
116,Adilabad,IN,74.28,moderate rain,19.6667,78.5333,Dwaraka Hotel.
120,East London,ZA,53.35,light rain,-33.0153,27.9116,Tu Casa
122,Okha,RU,59.86,overcast clouds,53.5739,142.9478,Империя
124,Ribeira Grande,PT,73.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
125,Beringovskiy,RU,53.13,light rain,63.05,179.3167,Beringgorski
128,Saint-Pierre,RE,67.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
129,Buta,CD,72.07,light rain,2.7858,24.73,HOTEL BISO NA BISO
